Date, Population, Annual Change
2003-12-31,17977000,0.31
2004-12-31,18032000,0.31
2005-12-31,18087000,0.31
2006-12-31,18142000,0.3
2007-12-31,18198000,0.31
2008-12-31,18254000,0.31
2009-12-31,18309000,0.3
2010-12-31,18365000,0.31
2011-12-31,18421000,0.3
2012-12-31,18478000,0.31
2013-12-31,18534000,0.3
2014-12-31,18591000,0.31
2015-12-31,18648000,0.31
2016-12-31,18705000,0.31
2017-12-31,18762000,0.3
2018-12-31,18819000,0.3
2019-12-31,18805000,-0.07
2020-12-31,18804000,-0.01
2021-12-31,18823000,0.1
2022-12-31,18867000,0.23
2023-12-31,18937000,0.37
