FiscalYear,July,August,September,October,November,December,January,February,March,April,May,June
FY23,1441,1517,1785,2244,2338,2446,2679,2818,2787,2884,,
FY22,1667,1620,1582,1572,1527,1479,1437,1433,1406,1396,1398,1397
FY21,2233,2183,2120,2082,2029,2012,1971,1932,1883,1843,1776,1733
FY20,2502,2498,2506,2524,2511,2482,2480,2463,2446,2416,2338,2292
FY19,2432,2462,2489,2525,2539,2535,2553,2542,2513,2495,2517,2520
FY18,2470,2516,2517,2501,2504,2512,2508,2487,2462,2421,2396,2404
FY17,2351,2376,2395,2415,2479,2522,2520,2501,2501,2520,2488,2466
FY16,2120,2126,2140,2167,2176,2187,2221,2239,2247,2278,2301,2343
FY15,1951,2004,2067,2103,2128,2134,2159,2172,2165,2149,2147,2135
FY14,1794,1805,1824,1855,1876,1872,1882,1900,1881,1883,1903,1922
FY13,1639,1673,1680,1669,1689,1686,1706,1749,1766,1793,1811,1819
FY12,1294,1308,1341,1376,1400,1383,1475,1505,1525,1571,1608,1609
FY11,1305,1326,1323,1309,1317,1315,1316,1328,1333,1308,1303,1292
