FiscalYear,July,August,September,October,November,December,January,February,March,April,May,June
FY23,9453,10101,11052,11996,12154,12395,13100,13435,13622,14236,,
FY22,8292,8299,8405,8583,8535,8490,8443,8414,8478,8502,8694,8964
FY21,10601,10462,10382,10304,10217,10070,9830,9696,9459,9169,8918,8764
FY20,11858,12037,12195,12242,12224,12082,11970,11623,11405,11250,10974,10767
FY19,12316,12436,12709,12759,12752,12691,12671,12529,12427,12061,11893,11818
FY18,12412,12489,12741,12874,12820,12788,12773,12789,12657,12469,12345,12267
FY17,12510,12828,13007,13101,13164,13096,13013,12929,12761,12539,12462,12409
FY16,11628,11750,11914,11974,12088,12144,12225,12232,12169,12239,12338,12368
FY15,11361,11439,11613,11881,12157,12281,12136,11984,11844,11750,11718,11660
FY14,10142,10247,10413,10540,10593,10546,10611,10745,10777,10874,11080,11224
FY13,9030,9298,9616,9773,9845,9930,10040,10181,10116,10073,10104,10077
FY12,7999,8063,8277,8395,8460,8511,8607,8553,8480,8522,8662,8815
FY11,8204,8006,8024,8117,8205,8236,8298,8342,8317,8168,8055,8012
