FiscalYear,July,August,September,October,November,December,January,February,March,April,May,June
FY23,16374,17018,18224,19962,20051,19963,20644,21144,21508,22145,,
FY22,16465,16252,16179,16469,16695,16615,16601,16591,16562,16501,16373,16272
FY21,17558,17685,17805,17917,18188,18377,18501,18464,18433,18091,17762,17360
FY20,16099,16211,16380,16545,16722,16878,17051,17210,17171,17336,17301,17490
FY19,15302,15452,15617,15785,16001,16111,16342,16516,16481,16093,16317,16166
FY18,13958,14112,14189,14308,14485,14676,14895,15216,15268,15356,15326,15315
FY17,12939,12988,13083,13322,13472,13515,13657,13795,13884,13943,13995,13968
FY16,11970,12086,12247,12477,12685,12781,12943,13067,13165,13136,13112,13060
FY15,10474,10554,10759,10954,11164,11301,11526,11779,11852,11857,11811,11934
FY14,9833,9854,9928,9949,9947,10006,10172,10294,10303,10371,10369,10370
FY13,8968,9121,9281,9332,9365,9537,9666,9808,9818,9830,9846,9857
FY12,8177,8235,8421,8505,8574,8584,8744,8836,8810,8850,8850,8877
